data_id,Date,state,inside_tempF,driver_temp_settingF,outside_tempF
980910,2/1/2023 0:00,asleep,,,
980911,2/1/2023 0:01,asleep,,,
980912,2/1/2023 0:02,asleep,,,
980913,2/1/2023 0:03,asleep,,,
980914,2/1/2023 0:04,asleep,,,
980915,2/1/2023 0:05,asleep,,,
980916,2/1/2023 0:06,asleep,,,
980917,2/1/2023 0:07,asleep,,,
980918,2/1/2023 0:08,asleep,,,
980919,2/1/2023 0:09,asleep,,,
980920,2/1/2023 0:10,asleep,,,
980921,2/1/2023 0:11,asleep,,,
980922,2/1/2023 0:12,asleep,,,
980923,2/1/2023 0:13,asleep,,,
980924,2/1/2023 0:14,asleep,,,
980925,2/1/2023 0:15,asleep,,,
980926,2/1/2023 0:16,asleep,,,
980927,2/1/2023 0:17,asleep,,,
980928,2/1/2023 0:18,asleep,,,
980929,2/1/2023 0:19,asleep,,,
980930,2/1/2023 0:20,asleep,,,
980931,2/1/2023 0:21,asleep,,,
980932,2/1/2023 0:22,asleep,,,
980933,2/1/2023 0:23,asleep,,,
980934,2/1/2023 0:24,asleep,,,
980935,2/1/2023 0:25,asleep,,,
980936,2/1/2023 0:26,asleep,,,
980937,2/1/2023 0:27,asleep,,,
980938,2/1/2023 0:28,asleep,,,
980939,2/1/2023 0:29,asleep,,,
980940,2/1/2023 0:30,asleep,,,
980941,2/1/2023 0:31,asleep,,,
980942,2/1/2023 0:32,asleep,,,
980943,2/1/2023 0:33,asleep,,,
980944,2/1/2023 0:34,asleep,,,
980945,2/1/2023 0:35,asleep,,,
980946,2/1/2023 0:36,asleep,,,
980947,2/1/2023 0:37,asleep,,,
980948,2/1/2023 0:38,asleep,,,
980949,2/1/2023 0:39,asleep,,,
980950,2/1/2023 0:40,asleep,,,
980951,2/1/2023 0:41,asleep,,,
980952,2/1/2023 0:42,asleep,,,
980953,2/1/2023 0:43,asleep,,,
980954,2/1/2023 0:44,asleep,,,
980955,2/1/2023 0:45,asleep,,,
980956,2/1/2023 0:46,asleep,,,
980957,2/1/2023 0:47,asleep,,,
980958,2/1/2023 0:48,asleep,,,
980959,2/1/2023 0:49,asleep,,,
980960,2/1/2023 0:50,asleep,,,
980961,2/1/2023 0:51,asleep,,,
980962,2/1/2023 0:52,asleep,,,
980963,2/1/2023 0:53,asleep,,,
980964,2/1/2023 0:54,asleep,,,
980965,2/1/2023 0:55,asleep,,,
980966,2/1/2023 0:56,asleep,,,
980967,2/1/2023 0:57,asleep,,,
980968,2/1/2023 0:58,asleep,,,
980969,2/1/2023 0:59,asleep,,,
980970,2/1/2023 1:00,asleep,,,
980971,2/1/2023 1:01,asleep,,,
980972,2/1/2023 1:02,asleep,,,
980973,2/1/2023 1:03,asleep,,,
980974,2/1/2023 1:04,asleep,,,
980975,2/1/2023 1:05,asleep,,,
980976,2/1/2023 1:06,asleep,,,
980977,2/1/2023 1:07,asleep,,,
980978,2/1/2023 1:08,asleep,,,
980979,2/1/2023 1:09,asleep,,,
980980,2/1/2023 1:10,asleep,,,
980981,2/1/2023 1:11,asleep,,,
980982,2/1/2023 1:12,asleep,,,
980983,2/1/2023 1:13,asleep,,,
980984,2/1/2023 1:14,asleep,,,
980985,2/1/2023 1:15,asleep,,,
980986,2/1/2023 1:16,asleep,,,
980987,2/1/2023 1:17,asleep,,,
980988,2/1/2023 1:18,asleep,,,
980989,2/1/2023 1:19,asleep,,,
980990,2/1/2023 1:20,asleep,,,
980991,2/1/2023 1:21,asleep,,,
980992,2/1/2023 1:22,asleep,,,
980993,2/1/2023 1:23,asleep,,,
980994,2/1/2023 1:24,asleep,,,
980995,2/1/2023 1:25,asleep,,,
980996,2/1/2023 1:26,asleep,,,
980997,2/1/2023 1:27,asleep,,,
980998,2/1/2023 1:28,asleep,,,
980999,2/1/2023 1:29,asleep,,,
981000,2/1/2023 1:30,asleep,,,
981001,2/1/2023 1:31,asleep,,,
981002,2/1/2023 1:32,asleep,,,
981003,2/1/2023 1:33,asleep,,,
981004,2/1/2023 1:34,asleep,,,
981005,2/1/2023 1:35,asleep,,,
981006,2/1/2023 1:36,asleep,,,
981007,2/1/2023 1:37,asleep,,,
