data_id,Date,state,inside_tempF,driver_temp_settingF,outside_tempF
935094,1/1/2023 0:00,offline,,,
935095,1/1/2023 0:01,offline,,,
935096,1/1/2023 0:02,offline,,,
935097,1/1/2023 0:03,offline,,,
935098,1/1/2023 0:04,offline,,,
935099,1/1/2023 0:05,offline,,,
935100,1/1/2023 0:06,offline,,,
935101,1/1/2023 0:07,offline,,,
935102,1/1/2023 0:08,offline,,,
935103,1/1/2023 0:09,offline,,,
935104,1/1/2023 0:10,offline,,,
935105,1/1/2023 0:11,offline,,,
935106,1/1/2023 0:12,offline,,,
935107,1/1/2023 0:13,offline,,,
935108,1/1/2023 0:14,offline,,,
935109,1/1/2023 0:15,offline,,,
935110,1/1/2023 0:16,offline,,,
935111,1/1/2023 0:17,offline,,,
935112,1/1/2023 0:18,offline,,,
935113,1/1/2023 0:19,offline,,,
935114,1/1/2023 0:20,offline,,,
935115,1/1/2023 0:21,offline,,,
935116,1/1/2023 0:22,offline,,,
935117,1/1/2023 0:23,offline,,,
935118,1/1/2023 0:24,offline,,,
935119,1/1/2023 0:25,offline,,,
935120,1/1/2023 0:26,offline,,,
935121,1/1/2023 0:27,offline,,,
935122,1/1/2023 0:28,offline,,,
935123,1/1/2023 0:29,offline,,,
935124,1/1/2023 0:30,offline,,,
935125,1/1/2023 0:31,offline,,,
935126,1/1/2023 0:32,offline,,,
935127,1/1/2023 0:33,offline,,,
935128,1/1/2023 0:34,offline,,,
935129,1/1/2023 0:35,offline,,,
935130,1/1/2023 0:36,offline,,,
935131,1/1/2023 0:37,offline,,,
935132,1/1/2023 0:38,offline,,,
935133,1/1/2023 0:39,offline,,,
935134,1/1/2023 0:40,offline,,,
935135,1/1/2023 0:41,offline,,,
935136,1/1/2023 0:42,offline,,,
935137,1/1/2023 0:43,offline,,,
935138,1/1/2023 0:44,offline,,,
935139,1/1/2023 0:45,offline,,,
935140,1/1/2023 0:46,offline,,,
935141,1/1/2023 0:47,offline,,,
935142,1/1/2023 0:48,offline,,,
935143,1/1/2023 0:49,offline,,,
935144,1/1/2023 0:50,offline,,,
935145,1/1/2023 0:51,offline,,,
935146,1/1/2023 0:52,offline,,,
935147,1/1/2023 0:53,offline,,,
935148,1/1/2023 0:54,offline,,,
935149,1/1/2023 0:55,offline,,,
935150,1/1/2023 0:56,offline,,,
935151,1/1/2023 0:57,offline,,,
935152,1/1/2023 0:58,offline,,,
935153,1/1/2023 0:59,offline,,,
935154,1/1/2023 1:00,offline,,,
935155,1/1/2023 1:01,offline,,,
935156,1/1/2023 1:02,offline,,,
935157,1/1/2023 1:03,offline,,,
935158,1/1/2023 1:04,offline,,,
935159,1/1/2023 1:05,offline,,,
935160,1/1/2023 1:06,offline,,,
935161,1/1/2023 1:07,offline,,,
935162,1/1/2023 1:08,offline,,,
935163,1/1/2023 1:09,offline,,,
935164,1/1/2023 1:10,offline,,,
935165,1/1/2023 1:11,offline,,,
935166,1/1/2023 1:12,offline,,,
935167,1/1/2023 1:13,offline,,,
935168,1/1/2023 1:14,offline,,,
935169,1/1/2023 1:15,offline,,,
935170,1/1/2023 1:16,offline,,,
935171,1/1/2023 1:17,offline,,,
935172,1/1/2023 1:18,offline,,,
935173,1/1/2023 1:19,offline,,,
